farmer_id,predicted_score,reason_1_feature,reason_2_feature,reason_3_feature,reason_1_shap,reason_2_shap,reason_3_shap
F00266,856.04,historical_repayment_score,land_area_acres,pm_kisan_status,38.7621,33.0483,25.8102
F00276,818.99,historical_repayment_score,pm_kisan_status,land_area_acres,74.3174,-60.5041,33.9156
F00279,757.78,pm_kisan_status,historical_repayment_score,irrigation_type,-49.8801,35.773,-8.9137
F00285,789.5,historical_repayment_score,land_area_acres,pm_kisan_status,-63.5869,32.5317,28.1454
F00289,952.83,historical_repayment_score,land_area_acres,pm_kisan_status,88.3287,37.0803,29.9678
F00292,815.38,historical_repayment_score,pm_kisan_status,land_area_acres,-36.1459,30.0324,24.5412
F00295,759.57,historical_repayment_score,pm_kisan_status,irrigation_type,-31.3067,29.2721,-12.3901
F00296,682.31,pm_kisan_status,historical_repayment_score,land_area_acres,-49.4304,-46.5144,-25.7388
F00298,523.78,historical_repayment_score,land_area_acres,pm_kisan_status,-149.6983,-69.6622,-61.8529
F00305,874.07,historical_repayment_score,land_area_acres,pm_kisan_status,41.3719,36.5234,27.1903
F00306,818.75,land_area_acres,pm_kisan_status,crop_type,35.4637,26.4072,-12.9018
F00308,884.55,historical_repayment_score,pm_kisan_status,land_area_acres,89.7181,30.8804,-29.6055
F00310,791.58,pm_kisan_status,historical_repayment_score,land_area_acres,-62.9818,41.5879,30.2734
F00312,694.57,pm_kisan_status,historical_repayment_score,land_area_acres,-54.7562,-48.4591,39.8406
F00315,904.92,land_area_acres,historical_repayment_score,pm_kisan_status,39.36,35.9783,27.186
F00317,797.43,pm_kisan_status,land_area_acres,irrigation_type,30.2478,-21.8968,-8.4919
F00319,829.98,land_area_acres,pm_kisan_status,crop_type,34.9453,28.1066,-9.4805
F00320,897.38,historical_repayment_score,land_area_acres,pm_kisan_status,41.4226,35.8375,28.0288
F00330,823.62,historical_repayment_score,land_area_acres,pm_kisan_status,-59.0937,42.1616,26.3146
F00333,794.41,pm_kisan_status,historical_repayment_score,land_area_acres,-53.4355,39.0001,25.4889
F00335,770.85,historical_repayment_score,land_area_acres,pm_kisan_status,-69.8154,28.4522,26.2286
F00336,793.4,historical_repayment_score,pm_kisan_status,rainfall_deviation_pct,35.7116,23.9152,-21.1239
F00337,685.66,pm_kisan_status,land_area_acres,crop_type,-54.2276,-48.443,16.0596
F00338,710.59,historical_repayment_score,land_area_acres,annual_income_inr,-69.0918,41.7462,-41.5379
F00340,781.62,historical_repayment_score,pm_kisan_status,land_area_acres,-42.7602,30.789,28.2654
F00342,825.66,land_area_acres,pm_kisan_status,crop_type,34.8951,30.5647,-29.5686
F00347,734.23,pm_kisan_status,historical_repayment_score,irrigation_type,-57.9309,21.1182,-8.7818
F00348,407.9,historical_repayment_score,land_area_acres,pm_kisan_status,-208.3518,-66.1265,-56.216
F00350,767.3,pm_kisan_status,historical_repayment_score,land_area_acres,19.9748,-18.236,-9.8409
F00354,780.35,historical_repayment_score,land_area_acres,annual_income_inr,82.6594,-57.7512,-37.67
F00356,808.25,crop_type,historical_repayment_score,pm_kisan_status,-34.1387,30.7068,25.2686
F00366,523.51,historical_repayment_score,land_area_acres,pm_kisan_status,-132.2142,-76.0358,-55.1088
F00375,746.74,pm_kisan_status,historical_repayment_score,land_area_acres,-62.2545,41.7287,-35.8954
F00380,800.61,historical_repayment_score,pm_kisan_status,crop_type,81.2721,-52.3264,-9.2171
F00381,718.68,historical_repayment_score,pm_kisan_status,land_area_acres,70.3036,-68.9122,-57.6839
F00384,745.36,land_area_acres,historical_repayment_score,crop_type,-59.3847,38.646,-33.3394
F00389,779.13,pm_kisan_status,historical_repayment_score,irrigation_type,-52.7096,42.9388,-8.2455
F00393,819.75,historical_repayment_score,pm_kisan_status,land_area_acres,39.071,31.9408,-24.3918
F00396,915.0,historical_repayment_score,land_area_acres,pm_kisan_status,79.5737,33.6072,29.0159
F00397,700.09,land_area_acres,historical_repayment_score,pm_kisan_status,-50.57,-30.0904,28.4264
F00401,867.21,land_area_acres,pm_kisan_status,crop_type,38.2281,27.5976,19.0089
F00402,819.57,historical_repayment_score,liability_ratio_pct,land_area_acres,42.7761,-32.921,30.7349
F00413,821.31,historical_repayment_score,land_area_acres,pm_kisan_status,67.2962,-48.355,33.1217
F00414,813.92,land_area_acres,pm_kisan_status,irrigation_type,33.0655,26.3694,-9.1929
F00418,734.59,historical_repayment_score,land_area_acres,pm_kisan_status,-71.0794,36.984,23.5731
F00420,756.67,historical_repayment_score,land_area_acres,pm_kisan_status,-65.8565,30.7666,26.3157
F00430,730.1,pm_kisan_status,historical_repayment_score,land_area_acres,-60.9379,-46.3062,40.3486
F00431,712.39,pm_kisan_status,crop_type,land_area_acres,-48.7808,25.7193,-20.418
F00438,820.64,land_area_acres,pm_kisan_status,crop_type,41.8644,27.8126,-25.702
F00439,942.38,historical_repayment_score,land_area_acres,pm_kisan_status,93.4441,34.2442,29.2341
F00441,774.81,pm_kisan_status,land_area_acres,historical_repayment_score,-56.6186,40.0083,36.1846
F00442,798.78,historical_repayment_score,pm_kisan_status,land_area_acres,-50.9339,29.1279,26.8741
F00445,823.45,pm_kisan_status,historical_repayment_score,land_area_acres,-56.123,36.4877,35.7206
F00446,762.88,historical_repayment_score,pm_kisan_status,irrigation_type,-61.1347,27.1684,12.1058
F00457,845.07,land_area_acres,pm_kisan_status,irrigation_type,33.4448,29.079,-9.4641
F00458,884.98,historical_repayment_score,land_area_acres,pm_kisan_status,62.4332,33.4262,30.5345
F00462,794.64,pm_kisan_status,historical_repayment_score,irrigation_type,25.3545,-7.712,-7.4966
F00463,855.16,historical_repayment_score,land_area_acres,pm_kisan_status,94.8636,-54.6355,31.8307
F00465,682.72,historical_repayment_score,pm_kisan_status,irrigation_type,-56.0379,-54.9377,10.5641
F00466,714.18,pm_kisan_status,irrigation_type,historical_repayment_score,-50.3844,-7.6408,-4.9915
F00470,745.56,pm_kisan_status,historical_repayment_score,land_area_acres,-54.1429,33.0307,-32.2178
F00471,576.03,historical_repayment_score,land_area_acres,pm_kisan_status,-116.6222,-62.7017,29.6199
F00476,846.69,land_area_acres,pm_kisan_status,irrigation_type,36.1287,29.4709,-9.1332
F00479,677.23,historical_repayment_score,land_area_acres,pm_kisan_status,-113.7609,38.828,-36.9573
F00489,848.08,historical_repayment_score,pm_kisan_status,land_area_acres,53.9396,32.3057,-28.4924
F00492,779.7,pm_kisan_status,historical_repayment_score,irrigation_type,29.1751,-25.9076,9.6233
F00499,810.32,land_area_acres,historical_repayment_score,pm_kisan_status,39.5963,-36.6197,32.6532
F00500,791.31,pm_kisan_status,land_area_acres,historical_repayment_score,29.6595,-24.6611,10.9957
F00506,787.09,pm_kisan_status,land_area_acres,historical_repayment_score,27.8783,-23.5494,9.9452
F00511,881.88,historical_repayment_score,pm_kisan_status,land_area_acres,81.9583,33.0384,-25.2628
F00512,868.91,land_area_acres,pm_kisan_status,historical_repayment_score,35.7492,30.1509,11.4685
F00514,818.39,historical_repayment_score,land_area_acres,pm_kisan_status,-33.0855,30.5824,28.4897
F00515,666.32,historical_repayment_score,irrigation_type,pm_kisan_status,-184.5923,31.9754,27.5444
F00518,741.12,pm_kisan_status,annual_income_inr,crop_type,-39.727,-27.4499,26.0858
F00520,939.5,historical_repayment_score,land_area_acres,pm_kisan_status,62.5097,39.674,28.3292
F00523,854.65,land_area_acres,pm_kisan_status,historical_repayment_score,34.7252,30.3736,12.4636
F00527,813.91,pm_kisan_status,land_area_acres,irrigation_type,24.3625,11.437,-10.4508
F00530,898.65,historical_repayment_score,pm_kisan_status,rainfall_deviation_pct,91.6737,27.8449,-14.1435
F00532,873.71,historical_repayment_score,land_area_acres,pm_kisan_status,40.9231,35.538,28.3577
F00534,813.57,historical_repayment_score,pm_kisan_status,land_area_acres,77.3244,-59.5027,36.5163
F00535,685.92,historical_repayment_score,land_area_acres,pm_kisan_status,-152.6848,29.5654,24.744
F00536,777.88,pm_kisan_status,land_area_acres,historical_repayment_score,28.4355,-25.61,13.0594
F00539,808.41,land_area_acres,pm_kisan_status,crop_type,-29.4408,25.964,16.3425
F00540,695.19,land_area_acres,pm_kisan_status,historical_repayment_score,-66.3232,-61.658,40.5051
F00544,841.64,historical_repayment_score,land_area_acres,crop_type,45.2889,36.7277,-28.2795
F00553,809.9,historical_repayment_score,pm_kisan_status,ndvi_score,-27.9498,27.5972,10.2328
F00558,765.39,pm_kisan_status,historical_repayment_score,land_area_acres,-61.4814,59.9329,-21.5343
F00559,807.74,pm_kisan_status,historical_repayment_score,crop_type,-48.9639,35.8797,21.8693
F00563,638.57,liability_ratio_pct,pm_kisan_status,historical_repayment_score,-52.0252,-41.4542,-26.9664
F00566,707.04,historical_repayment_score,pm_kisan_status,land_area_acres,-56.1152,-47.7879,36.7445
F00569,801.36,historical_repayment_score,land_area_acres,pm_kisan_status,-59.5923,37.536,25.7847
F00570,901.02,historical_repayment_score,land_area_acres,pm_kisan_status,37.3136,34.8462,28.7832
F00571,834.11,land_area_acres,pm_kisan_status,irrigation_type,39.8181,26.8623,-10.6752
F00584,665.21,pm_kisan_status,land_area_acres,irrigation_type,-54.6956,-54.5893,-7.1706
F00587,788.22,pm_kisan_status,historical_repayment_score,land_area_acres,-57.5936,39.1249,31.8225
F00598,788.24,pm_kisan_status,historical_repayment_score,land_area_acres,-48.4166,42.1894,19.1978
F00602,591.45,historical_repayment_score,pm_kisan_status,irrigation_type,-154.5427,-54.123,21.1474
F00605,694.42,historical_repayment_score,pm_kisan_status,irrigation_type,-104.3889,25.7223,-18.6885
F00608,755.55,historical_repayment_score,pm_kisan_status,crop_type,-51.6064,27.0329,-24.9638
F00611,831.25,land_area_acres,pm_kisan_status,crop_type,35.9442,31.1774,-30.0991
F00614,921.05,historical_repayment_score,land_area_acres,pm_kisan_status,83.6388,38.7226,29.1674
F00617,766.32,annual_income_inr,pm_kisan_status,crop_type,-47.5656,19.7255,9.1698
F00621,865.92,historical_repayment_score,pm_kisan_status,land_area_acres,67.652,29.3476,-29.3449
F00627,876.98,historical_repayment_score,land_area_acres,pm_kisan_status,42.1972,37.6944,26.0517
F00630,718.79,historical_repayment_score,land_area_acres,pm_kisan_status,-121.7213,30.3596,27.9899
F00643,739.13,historical_repayment_score,crop_type,pm_kisan_status,-55.4681,-27.3274,25.9892
F00651,884.17,historical_repayment_score,pm_kisan_status,land_area_acres,90.213,28.983,-25.2292
F00654,768.26,pm_kisan_status,land_area_acres,historical_repayment_score,-60.0595,38.6249,6.1432
F00656,721.4,historical_repayment_score,liability_ratio_pct,pm_kisan_status,-61.5029,-22.9233,22.634
F00658,690.73,historical_repayment_score,pm_kisan_status,land_area_acres,-103.505,27.6046,-15.0475
F00663,790.72,pm_kisan_status,historical_repayment_score,irrigation_type,28.3865,-26.8641,8.5407
F00668,640.09,historical_repayment_score,land_area_acres,pm_kisan_status,-159.7254,26.254,23.1471
F00671,806.1,land_area_acres,historical_repayment_score,pm_kisan_status,-57.0675,43.262,31.3991
F00672,745.16,pm_kisan_status,land_area_acres,historical_repayment_score,-61.1917,33.489,-8.2019
F00684,844.29,historical_repayment_score,pm_kisan_status,land_area_acres,31.7746,26.2227,-10.6461
F00686,798.21,historical_repayment_score,pm_kisan_status,crop_type,56.4646,-50.4648,15.9856
F00687,778.69,historical_repayment_score,rainfall_deviation_pct,pm_kisan_status,33.6506,-30.2082,21.3061
F00688,584.82,land_area_acres,historical_repayment_score,pm_kisan_status,-62.021,-56.0891,-51.5014
F00693,785.3,historical_repayment_score,pm_kisan_status,liability_ratio_pct,35.8103,21.2464,-17.4427
F00698,860.76,land_area_acres,pm_kisan_status,crop_type,34.8265,27.2667,21.6899
F00699,873.58,historical_repayment_score,pm_kisan_status,land_area_acres,78.8057,25.4568,-18.2695
F00700,824.12,historical_repayment_score,land_area_acres,pm_kisan_status,73.6629,-58.5381,34.0133
F00701,694.01,pm_kisan_status,historical_repayment_score,irrigation_type,-49.7547,-40.8409,12.4121
F00704,671.49,historical_repayment_score,land_area_acres,pm_kisan_status,-91.039,-45.0319,28.8982
F00708,829.39,historical_repayment_score,pm_kisan_status,crop_type,66.1312,-51.8909,18.5083
F00712,786.47,pm_kisan_status,land_area_acres,historical_repayment_score,25.542,-14.2561,-11.692
F00717,843.38,historical_repayment_score,pm_kisan_status,land_area_acres,38.8466,28.8552,-17.7687
F00721,734.64,pm_kisan_status,historical_repayment_score,crop_type,-59.0986,54.3208,-32.6219
F00722,722.05,pm_kisan_status,land_area_acres,historical_repayment_score,-58.8053,-50.7807,45.9298
F00729,649.28,land_area_acres,pm_kisan_status,historical_repayment_score,-72.8124,-67.6526,8.6999
F00736,755.11,land_area_acres,pm_kisan_status,historical_repayment_score,-54.935,31.7436,9.7843
F00738,664.36,historical_repayment_score,pm_kisan_status,land_area_acres,-127.8158,-50.1493,36.4063
F00739,667.09,land_area_acres,annual_income_inr,historical_repayment_score,-61.2698,-47.4876,-28.5993
F00741,732.86,pm_kisan_status,crop_type,land_area_acres,-50.5264,24.4107,-23.836
F00743,782.14,historical_repayment_score,land_area_acres,pm_kisan_status,-85.2132,37.236,26.9147
F00744,831.33,land_area_acres,pm_kisan_status,historical_repayment_score,34.5253,28.2309,12.5535
F00749,853.1,land_area_acres,pm_kisan_status,historical_repayment_score,37.6412,25.7124,18.0854
F00750,769.53,historical_repayment_score,pm_kisan_status,irrigation_type,-30.1776,25.9359,-8.8523
F00751,588.82,historical_repayment_score,land_area_acres,pm_kisan_status,-101.1927,-67.6715,-61.687
F00754,709.15,historical_repayment_score,land_area_acres,pm_kisan_status,-63.0273,-57.9718,32.1867
F00756,814.07,pm_kisan_status,historical_repayment_score,land_area_acres,-57.0406,38.954,35.8301
F00761,766.73,pm_kisan_status,land_area_acres,irrigation_type,-62.7767,37.0173,6.8165
F00763,645.9,land_area_acres,pm_kisan_status,ndvi_score,-67.4919,-60.6575,8.2506
F00764,793.07,historical_repayment_score,land_area_acres,pm_kisan_status,-39.565,34.6516,26.6755
F00767,691.53,land_area_acres,pm_kisan_status,historical_repayment_score,-66.7829,-66.6553,62.7371
F00770,587.11,land_area_acres,pm_kisan_status,historical_repayment_score,-66.4546,-57.8599,-34.0538
F00774,805.12,land_area_acres,historical_repayment_score,pm_kisan_status,-49.971,40.0237,29.7169
F00779,661.5,pm_kisan_status,historical_repayment_score,land_area_acres,-58.1819,-35.7978,-23.6122
F00796,517.9,historical_repayment_score,land_area_acres,crop_type,-164.8226,-64.6419,-28.8917
F00798,843.7,land_area_acres,pm_kisan_status,historical_repayment_score,35.5838,29.7077,10.2496
F00803,915.39,historical_repayment_score,pm_kisan_status,crop_type,96.1464,27.5419,9.7325
F00804,910.48,historical_repayment_score,land_area_acres,pm_kisan_status,56.6981,34.0017,30.9327
F00806,786.57,historical_repayment_score,land_area_acres,pm_kisan_status,-38.9031,34.0967,29.0455
F00808,673.11,historical_repayment_score,land_area_acres,pm_kisan_status,-153.7998,24.7744,23.5648
F00809,654.89,historical_repayment_score,annual_income_inr,pm_kisan_status,-56.6693,-54.593,20.1069
F00810,632.35,historical_repayment_score,pm_kisan_status,irrigation_type,-93.9012,-59.5852,12.4963
F00813,804.86,historical_repayment_score,pm_kisan_status,land_area_acres,84.9515,-61.4623,44.3517
F00816,741.9,land_area_acres,pm_kisan_status,irrigation_type,-28.3644,26.2132,-11.0122
F00823,767.6,historical_repayment_score,pm_kisan_status,irrigation_type,-53.5428,29.3853,11.7309
F00824,886.68,historical_repayment_score,land_area_acres,pm_kisan_status,45.721,33.7595,28.4356
F00825,711.06,pm_kisan_status,land_area_acres,crop_type,-49.8599,-27.6413,22.9976
F00827,793.59,pm_kisan_status,irrigation_type,historical_repayment_score,24.8378,-10.0128,-8.9622
F00829,795.0,historical_repayment_score,pm_kisan_status,land_area_acres,-59.983,31.4015,29.1663
F00834,846.45,historical_repayment_score,land_area_acres,pm_kisan_status,91.3458,-57.0994,35.4148
F00841,740.4,pm_kisan_status,land_area_acres,irrigation_type,-55.254,21.9698,-8.2838
F00842,595.98,historical_repayment_score,land_area_acres,pm_kisan_status,-123.0191,-60.387,27.3121
F00844,681.45,pm_kisan_status,historical_repayment_score,irrigation_type,-55.4477,-35.9132,-9.169
F00848,688.98,historical_repayment_score,land_area_acres,pm_kisan_status,-162.7826,31.0515,26.0337
F00849,467.09,historical_repayment_score,land_area_acres,pm_kisan_status,-184.508,-74.0985,-53.0405
F00854,678.94,land_area_acres,pm_kisan_status,historical_repayment_score,-60.5267,-58.2627,-9.8452
F00856,683.33,historical_repayment_score,land_area_acres,pm_kisan_status,-146.0375,29.5425,19.7789
F00857,802.97,crop_type,pm_kisan_status,historical_repayment_score,-31.7989,29.9867,28.7636
F00863,875.8,land_area_acres,pm_kisan_status,historical_repayment_score,38.1855,29.664,18.7555
F00864,789.14,historical_repayment_score,pm_kisan_status,land_area_acres,-64.901,31.1155,29.5894
F00868,863.82,land_area_acres,pm_kisan_status,irrigation_type,34.0977,30.1583,7.7132
F00872,748.86,annual_income_inr,historical_repayment_score,pm_kisan_status,-63.2512,54.5152,-54.2568
F00874,731.28,historical_repayment_score,pm_kisan_status,irrigation_type,-93.5461,25.7599,18.8597
F00877,878.57,land_area_acres,pm_kisan_status,crop_type,37.4311,27.7886,19.9976
F00883,708.38,historical_repayment_score,pm_kisan_status,irrigation_type,-127.687,24.9969,14.6738
F00888,834.7,historical_repayment_score,pm_kisan_status,ndvi_score,85.1253,26.8209,-21.7379
F00896,904.8,historical_repayment_score,land_area_acres,pm_kisan_status,63.3643,40.1004,31.4078
F00901,699.01,crop_type,rainfall_deviation_pct,pm_kisan_status,-42.4324,-28.5142,25.7624
F00906,774.35,pm_kisan_status,land_area_acres,crop_type,20.1022,-12.9943,-8.4228
F00907,829.77,historical_repayment_score,land_area_acres,pm_kisan_status,61.5529,-31.9883,30.5277
F00910,710.49,pm_kisan_status,liability_ratio_pct,historical_repayment_score,-53.3032,-38.6779,11.1437
F00912,853.84,historical_repayment_score,pm_kisan_status,land_area_acres,85.2663,31.3961,-26.6096
F00917,769.53,historical_repayment_score,pm_kisan_status,land_area_acres,-59.1568,29.8452,27.3432
F00920,641.79,historical_repayment_score,pm_kisan_status,crop_type,-98.3172,-52.42,20.0856
F00921,830.35,historical_repayment_score,pm_kisan_status,land_area_acres,35.5702,28.0148,-24.8934
F00925,767.45,pm_kisan_status,land_area_acres,irrigation_type,-60.6677,34.9615,8.4612
F00931,776.78,historical_repayment_score,pm_kisan_status,land_area_acres,-40.3445,30.3334,25.8788
F00937,705.67,pm_kisan_status,land_area_acres,irrigation_type,-54.5023,-12.0563,8.9588
F00940,714.35,pm_kisan_status,historical_repayment_score,irrigation_type,-50.5703,-47.9993,14.0088
F00941,941.69,historical_repayment_score,land_area_acres,pm_kisan_status,91.7495,36.249,29.0866
F00945,782.13,land_area_acres,historical_repayment_score,crop_type,-56.1518,41.7183,-30.079
F00946,766.3,pm_kisan_status,land_area_acres,historical_repayment_score,-52.1032,36.7359,18.7762
F00952,611.06,historical_repayment_score,land_area_acres,irrigation_type,-194.8673,30.5902,-23.7172
F00954,828.48,historical_repayment_score,pm_kisan_status,crop_type,34.1588,23.7717,14.0455
F00962,803.93,crop_type,land_area_acres,pm_kisan_status,-40.1058,39.9636,30.6874
F00972,719.91,pm_kisan_status,historical_repayment_score,land_area_acres,-53.5596,-38.4356,31.8
F00973,859.6,land_area_acres,pm_kisan_status,historical_repayment_score,38.2287,26.8467,15.0349
F00974,739.46,pm_kisan_status,land_area_acres,irrigation_type,-54.141,14.6407,5.6784
F00976,846.5,land_area_acres,pm_kisan_status,crop_type,34.7962,27.7141,-9.844
F00978,697.42,historical_repayment_score,pm_kisan_status,land_area_acres,-73.3198,23.8214,-22.7968
F00980,815.59,historical_repayment_score,crop_type,pm_kisan_status,51.1586,-32.7283,30.5292
F00986,720.46,historical_repayment_score,pm_kisan_status,land_area_acres,-53.371,-51.0167,34.6099
F00993,854.06,historical_repayment_score,pm_kisan_status,irrigation_type,34.6761,24.1933,7.3803
F00995,839.98,historical_repayment_score,land_area_acres,pm_kisan_status,39.2365,32.5831,25.2607
F00997,851.47,land_area_acres,pm_kisan_status,historical_repayment_score,36.6617,29.7512,12.0712
F01008,831.26,historical_repayment_score,land_area_acres,pm_kisan_status,69.2739,-34.132,24.8196
F01013,899.26,land_area_acres,historical_repayment_score,pm_kisan_status,38.0547,34.4608,27.9759
F01014,668.22,land_area_acres,historical_repayment_score,pm_kisan_status,-69.478,-39.77,31.8798
F01017,851.1,land_area_acres,historical_repayment_score,pm_kisan_status,36.8039,34.7369,24.9986
F01021,740.4,land_area_acres,pm_kisan_status,rainfall_deviation_pct,-52.3647,29.6874,-15.1605
F01027,739.17,pm_kisan_status,land_area_acres,historical_repayment_score,-59.0988,32.0852,-11.0386
